"","gender","Age","Attitude","Points","stra","surf","deep"
"1","F",53,37,25,3.375,2.58333333333333,3.58333333333333
"2","M",55,31,12,2.75,3.16666666666667,2.91666666666667
"3","F",49,25,24,3.625,2.25,3.5
"4","M",53,35,10,3.125,2.25,3.5
"5","M",49,37,22,3.625,2.83333333333333,3.66666666666667
"6","F",38,38,21,3.625,2.41666666666667,4.75
"7","M",50,35,21,2.25,1.91666666666667,3.83333333333333
"8","F",37,29,31,4,2.83333333333333,3.25
"9","M",37,38,24,4.25,2.16666666666667,4.33333333333333
"10","F",42,21,26,3.5,3,4
"11","M",37,39,31,3.625,2.66666666666667,3.58333333333333
"12","F",34,38,31,4.75,2.41666666666667,3.83333333333333
"13","F",34,24,23,3.625,2.25,4.25
"14","F",34,30,25,3.5,2.75,3.33333333333333
"15","M",35,26,21,1.75,2.33333333333333,4.16666666666667
"16","F",33,41,31,3.875,2.33333333333333,3.66666666666667
"17","F",32,26,20,1.375,2.91666666666667,4.08333333333333
"18","F",44,26,22,3.25,2.5,3.5
"19","M",29,17,9,3,3.75,4.08333333333333
"20","F",30,27,24,3.75,2.75,4
"21","M",27,39,28,2.625,2.33333333333333,3.91666666666667
"22","M",29,34,30,2.375,2.41666666666667,4
"23","F",31,27,24,3.625,3,4
"24","F",37,23,9,2.75,2.41666666666667,3.66666666666667
"25","F",26,37,26,1.75,2.83333333333333,3.66666666666667
"26","F",26,44,32,3.25,3.16666666666667,4.41666666666667
"27","M",30,41,32,4,3,3.91666666666667
"28","F",33,37,33,3.625,2,3.75
"29","F",33,25,29,2.875,3.5,3.25
"30","M",28,30,30,3,3.75,3.58333333333333
"31","M",26,34,19,1.625,2.5,4.91666666666667
"32","F",27,32,23,3.25,2.08333333333333,3.58333333333333
"33","F",25,20,19,3.5,2.41666666666667,2.91666666666667
"34","F",31,24,12,3,2.58333333333333,3.66666666666667
"35","M",20,42,10,3.25,1.58333333333333,4.5
"36","F",39,16,11,1.875,2.83333333333333,4.08333333333333
"37","M",38,31,20,4.375,1.83333333333333,3.83333333333333
"38","M",24,38,26,3.625,2.41666666666667,3.25
"39","M",26,38,31,2.5,3.25,2.33333333333333
"40","M",25,33,20,1.25,3.41666666666667,3.33333333333333
"41","F",30,17,23,4,3.41666666666667,4.08333333333333
"42","F",25,25,12,3,3.16666666666667,2.91666666666667
"43","M",30,32,24,2.5,3.5,3.33333333333333
"44","F",48,35,17,4.875,2.66666666666667,3.83333333333333
"45","F",24,32,29,5,2.41666666666667,3.66666666666667
"46","F",40,42,23,4.375,3.58333333333333,4.66666666666667
"47","M",25,31,28,3.25,2.08333333333333,3.75
"48","F",23,39,31,4,3.75,3.41666666666667
"49","F",25,19,23,3.125,2.91666666666667,4.16666666666667
"50","F",23,21,25,2.5,2.91666666666667,2.91666666666667
"51","M",27,25,18,3.125,2.41666666666667,4.16666666666667
"52","M",25,32,19,3.25,3,3.58333333333333
"53","M",23,32,22,2.125,3.41666666666667,2.83333333333333
"54","F",23,26,25,2.75,2.91666666666667,4
"55","F",23,23,21,2.375,3.25,2.91666666666667
"56","F",45,38,9,3.125,3.25,3
